(1, 68460740885576340589477729486775959047), 
(2, 68460740885576340589477729486775962821), 
(3, 68460740885576340589477729486775977247), 
(4, 68460740885576340589477729486776014271), 
(5, 68460740885576340589477729486776090399), 
(6, 68460740885576340589477729486776226697), 
(7, 68460740885576340589477729486776448791), 
(8, 68460740885576340589477729486776786867), 
(9, 68460740885576340589477729486777275671), 
(10, 68460740885576340589477729486777954509)

tag: ad76eee1c14a5e0f376c54cb1d713caf
encrypted message: f14699719911e18184bafedde1a788f715a446025b36fe93
